standard_dev,comment,source,perspective_score,comment_ID,avg_rating,rating_number,toxic_score,is_profane,is_threat,is_identity_attack,is_insult,is_sexual_harassment,gender,race,technology_impact,uses_media_social,uses_media_news,uses_media_video,uses_media_forums,personally_seen_toxic_content,personally_been_target,identify_as_transgender,toxic_comments_problem,education,age_range,lgbtq_status,political_affilation,is_parent,religion_important,fine_to_see_online,remove_from_online,rating_number,toxic_score,is_profane,is_threat,is_identity_attack,is_insult,is_sexual_harassment,gender,race,technology_impact,uses_media_social,uses_media_news,uses_media_video,uses_media_forums,personally_seen_toxic_content,personally_been_target,identify_as_transgender,toxic_comments_problem,education,age_range,lgbtq_status,political_affilation,is_parent,religion_important,fine_to_see_online,remove_from_online,rating_number,toxic_score,is_profane,is_threat,is_identity_attack,is_insult,is_sexual_harassment,gender,race,technology_impact,uses_media_social,uses_media_news,uses_media_video,uses_media_forums,personally_seen_toxic_content,personally_been_target,identify_as_transgender,toxic_comments_problem,education,age_range,lgbtq_status,political_affilation,is_parent,religion_important,fine_to_see_online,remove_from_online,rating_number,toxic_score,is_profane,is_threat,is_identity_attack,is_insult,is_sexual_harassment,gender,race,technology_impact,uses_media_social,uses_media_news,uses_media_video,uses_media_forums,personally_seen_toxic_content,personally_been_target,identify_as_transgender,toxic_comments_problem,education,age_range,lgbtq_status,political_affilation,is_parent,religion_important,fine_to_see_online,remove_from_online,rating_number,toxic_score,is_profane,is_threat,is_identity_attack,is_insult,is_sexual_harassment,gender,race,technology_impact,uses_media_social,uses_media_news,uses_media_video,uses_media_forums,personally_seen_toxic_content,personally_been_target,identify_as_transgender,toxic_comments_problem,education,age_range,lgbtq_status,political_affilation,is_parent,religion_important,fine_to_see_online,remove_from_online
0.4,Hallelujah! It is fucking precious! CEOs use the f word a lot WATER IS WORTH MORE THAN FUCKING GOLD. Kids are begging for it in the redeveloping countries But no let's give it to the marketeers of our govt. Pathetic,twitter,0.89941627,1237_12,2.8,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),45 - 54,Heterosexual,Liberal,Yes,Very important,It depends on the context,It depends on the context,2,3,TRUE,FALSE,TRUE,TRUE,FALSE,Male,White,Somewhat negative,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No,Very frequently a problem,Bachelor's degree in college (4-year),65 or older,Heterosexual,Independent,Yes,Not important,I would never want to see it,This comment should be removed,3,3,TRUE,FALSE,FALSE,FALSE,FALSE,Unknown,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,Occasionally a problem,Prefer not to say,25 - 34,Heterosexual,Prefer not to say,Yes,Prefer not to say,I would never want to see it,This comment should be removed,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Neutral Ã¢Â€Â“ neither positive nor negative,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Frequently a problem,High school graduate (high school diploma or equivalent including GED),25 - 34,Heterosexual,Independent,Yes,Very important,I would never want to see it,This comment should be removed,5,3,TRUE,FALSE,FALSE,TRUE,FALSE,Male,White,Very positive,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Liberal,Yes,Very important,It depends on the context,It depends on the context
0.894427191,Imagine calling mental health a fucking concept. I have no words to describe the level of imbecile that would call anything to do with suffering from mental health issue a fucking concept. I'm astounded!,twitter,0.87185377,4214_9,2,1,3,TRUE,FALSE,TRUE,TRUE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,No,Rarely a problem,Bachelor's degree in college (4-year),45 - 54,Heterosexual,Independent,Yes,Not important,I would never want to see it,This comment should be removed,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,Female,Black or African American,Somewhat positive,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Frequently a problem,Master's degree,45 - 54,Homosexual,Independent,No,Very important,This is fine for me to see,This comment should be allowed,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,Male,Asian,Somewhat positive,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,No,Rarely a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Liberal,Yes,Somewhat important,This is fine for me to see,This comment should be allowed,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Neutral Ã¢Â€Â“ neither positive nor negative,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,Occasionally a problem,Master's degree,55 - 64,Heterosexual,Liberal,Yes,Somewhat important,It depends on the context,It depends on the context,5,3,TRUE,FALSE,FALSE,TRUE,FALSE,Male,White,Very positive,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Liberal,Yes,Very important,It depends on the context,It depends on the context
1.264911064,why are baby boomers so fuckin stupid,twitter,0.9783543,2695_11,2,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,Not a problem,Associate degree in college (2-year),65 or older,Heterosexual,Other,Yes,Not too important,This is fine for me to see,This comment should be allowed,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,Frequently a problem,Bachelor's degree in college (4-year),35 - 44,Heterosexual,Independent,Yes,Not important,This is fine for me to see,This comment should be allowed,3,4,TRUE,FALSE,FALSE,TRUE,FALSE,Female,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,Frequently a problem,Some college but no degree,35 - 44,Heterosexual,Independent,No,Not too important,I would never want to see it,This comment should be removed,4,1,TRUE,FALSE,TRUE,TRUE,FALSE,Female,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,No,Somewhat important,It depends on the context,It depends on the context,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,Male,White,Very positive,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,No,Frequently a problem,High school graduate (high school diploma or equivalent including GED),18 - 24,Heterosexual,Liberal,No,Not too important,I would never want to see it,This comment should be removed
0.7483314774,I'm watching some shite and someone called someone 'Spunky'. Tell you what semen fucking decimated that as thing. Google spunk and look at the informal definition makes it even better,twitter,0.8995715,5696_5,2.8,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Somewhat positive,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),35 - 44,Bisexual,Independent,Yes,Very important,It depends on the context,This comment should be allowed,2,4,TRUE,FALSE,FALSE,TRUE,FALSE,Female,White,Somewhat positive,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,Occasionally a problem,Master's degree,65 or older,Heterosexual,Conservative,Yes,Very important,I would never want to see it,This comment should be removed,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Neutral Ã¢Â€Â“ neither positive nor negative,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,Frequently a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,Yes,Very important,I would never want to see it,This comment should be allowed,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Somewhat positive,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,Very frequently a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,Yes,Very important,I would never want to see it,This comment should be removed,5,3,TRUE,FALSE,FALSE,FALSE,TRUE,Male,White,Somewhat negative,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,Frequently a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,No,Not important,I would never want to see it,It depends on the context
1.356465997,if Sarah and Lisa from the Conservative Party can kindly fuck off thatâ€™d be great. Lol 🙄🙄,twitter,0.78390616,3479_9,2.4,1,4,TRUE,FALSE,TRUE,TRUE,FALSE,Female,White,Very negative,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,No,Occasionally a problem,High school graduate (high school diploma or equivalent including GED),45 - 54,Heterosexual,Conservative,No,Somewhat important,I would never want to see it,This comment should be allowed,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,Frequently a problem,Some college but no degree,18 - 24,Heterosexual,Liberal,Yes,Somewhat important,It depends on the context,It depends on the context,3,1,TRUE,TRUE,FALSE,FALSE,FALSE,Male,Black or African American,Somewhat positive,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,No,Occasionally a problem,Bachelor's degree in college (4-year),35 - 44,Heterosexual,Liberal,Yes,Not important,It depends on the context,It depends on the context,4,4,TRUE,TRUE,TRUE,TRUE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),35 - 44,Heterosexual,Liberal,No,Somewhat important,I would never want to see it,This comment should be removed,5,1,TRUE,FALSE,FALSE,TRUE,FALSE,Male,Asian,Somewhat positive,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Rarely a problem,Some college but no degree,18 - 24,Heterosexual,Conservative,No,Not too important,This is fine for me to see,This comment should be allowed
0.4,I'm not buying shit else form the store!,twitter,0.9035378,5677_21,1.2,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,No,Occasionally a problem,Bachelor's degree in college (4-year),35 - 44,Heterosexual,Liberal,Yes,Somewhat important,I would never want to see it,It depends on the context,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,Female,Black or African American,Somewhat negative,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,No,Frequently a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,Yes,Very important,This is fine for me to see,This comment should be allowed,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Somewhat positive,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,No,Frequently a problem,Bachelor's degree in college (4-year),45 - 54,Heterosexual,Liberal,Yes,Somewhat important,This is fine for me to see,This comment should be allowed,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Somewhat negative,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,No,Very frequently a problem,Bachelor's degree in college (4-year),55 - 64,Heterosexual,Independent,No,Somewhat important,I would never want to see it,This comment should be allowed,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,Female,White,Somewhat positive,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Frequently a problem,High school graduate (high school diploma or equivalent including GED),45 - 54,Heterosexual,Conservative,Yes,Very important,I would never want to see it,This comment should be removed
0.894427191,One of my co-workers just irritated tf outta me. Idk if I should slap this old geezer or just drink some coffee and go about my day,twitter,0.61285704,3273_20,2,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,Male,White,Very positive,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,Very frequently a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Liberal,No,Very important,I would never want to see it,It depends on the context,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,Female,White,Neutral Ã¢Â€Â“ neither positive nor negative,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,No,Rarely a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,No,Somewhat important,This is fine for me to see,This comment should be allowed,3,2,FALSE,TRUE,TRUE,TRUE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,No,Occasionally a problem,Master's degree,45 - 54,Heterosexual,Independent,Yes,Not too important,It depends on the context,It depends on the context,4,3,FALSE,TRUE,FALSE,FALSE,FALSE,Female,American Indian or Alaska Native,Neutral Ã¢Â€Â“ neither positive nor negative,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,Rarely a problem,High school graduate (high school diploma or equivalent including GED),25 - 34,nan,Independent,Yes,Somewhat important,I would never want to see it,This comment should be removed,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Very positive,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,No,Not a problem,Some college but no degree,18 - 24,Heterosexual,Conservative,No,Very important,This is fine for me to see,This comment should be allowed
0.9797958971,i will stab someone if they touch my SHOULDER without consent. throw me into a pool without my consent and i will shoot u in front of everyone there,twitter,0.96327865,4152_11,1.8,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,Female,Hispanic,Very positive,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Yes,Frequently a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Conservative,Yes,Very important,It depends on the context,It depends on the context,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,Frequently a problem,Some college but no degree,45 - 54,Heterosexual,Liberal,Yes,Not important,This is fine for me to see,This comment should be removed,3,1,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Very positive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,Occasionally a problem,Some college but no degree,35 - 44,Heterosexual,Conservative,Yes,Somewhat important,It depends on the context,It depends on the context,4,3,FALSE,TRUE,FALSE,FALSE,FALSE,Female,White,Somewhat positive,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,No,Frequently a problem,Some college but no degree,55 - 64,Heterosexual,Liberal,Yes,Somewhat important,It depends on the context,This comment should be removed,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,Female,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,Frequently a problem,Some college but no degree,45 - 54,Heterosexual,Conservative,Yes,Somewhat important,I would never want to see it,This comment should be removed
1.264911064,Forget 45 years in prison Epstein should be publicly Hung,twitter,0.6079781,4232_1,3,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,Male,Black or African American,Somewhat positive,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,Rarely a problem,Some college but no degree,25 - 34,Heterosexual,Independent,No,Somewhat important,I would never want to see it,This comment should be removed,2,4,FALSE,TRUE,TRUE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Occasionally a problem,Some college but no degree,25 - 34,Heterosexual,Independent,No,Not too important,It depends on the context,It depends on the context,3,4,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,No,Occasionally a problem,High school graduate (high school diploma or equivalent including GED),18 - 24,Heterosexual,Conservative,Yes,Not too important,This is fine for me to see,This comment should be allowed,4,1,TRUE,TRUE,FALSE,FALSE,FALSE,Male,White,Somewhat negative,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,No,Rarely a problem,Some college but no degree,18 - 24,Heterosexual,Independent,No,Not important,I would never want to see it,This comment should be allowed,5,2,FALSE,TRUE,FALSE,TRUE,FALSE,Female,White,Somewhat positive,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,No,Occasionally a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Liberal,Yes,Very important,It depends on the context,It depends on the context
0.8,Tulane is ridiculous right now and I wanna fight the person driving like a maniac,twitter,0.7879895,2061_13,1.6,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,No,Frequently a problem,Bachelor's degree in college (4-year),35 - 44,Heterosexual,Liberal,Yes,Not important,It depends on the context,It depends on the context,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,No,Rarely a problem,High school graduate (high school diploma or equivalent including GED),25 - 34,Heterosexual,Independent,No,Not important,This is fine for me to see,This comment should be allowed,3,1,FALSE,TRUE,FALSE,FALSE,FALSE,Male,White,Somewhat positive,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,No,Occasionally a problem,Some college but no degree,55 - 64,Heterosexual,Independent,Yes,Not important,It depends on the context,It depends on the context,4,2,FALSE,TRUE,FALSE,FALSE,FALSE,Female,Other,Neutral Ã¢Â€Â“ neither positive nor negative,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,No,Occasionally a problem,Some college but no degree,18 - 24,Heterosexual,Liberal,No,Somewhat important,This is fine for me to see,It depends on the context,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,Male,Black or African American,Very positive,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,No,Rarely a problem,Bachelor's degree in college (4-year),25 - 34,Heterosexual,Independent,No,Very important,It depends on the context,This comment should be allowed
